scene,time,raw_motion,M,O,camera_angle,camera_confidence,face_emotion,face_confidence,face_found,F,objects,emotion,scene_type,scene_type_confidence,classification_reliable
1,00:00.00-00:01.75,1.4098,0.141,0.217,left,0.6533,unknown,0.0,False,0.0,"chair, tv",unknown,Romance,0.7947,True
2,00:01.75-00:02.46,2.6875,0.2688,0.3516,right,0.7639,unknown,0.0,False,0.0,person,unknown,Romance,0.9189,True
3,00:02.46-00:03.55,1.611,0.1611,0.3197,left,0.4907,unknown,0.0,False,0.0,person,unknown,Comedy,0.9338,True
4,00:03.55-00:05.67,2.3269,0.2327,0.278,right,0.5773,unknown,0.0,False,0.0,"chair, microwave, oven",unknown,Romance,0.9373,True
5,00:05.67-00:07.22,1.4425,0.1443,0.32,right,0.41,unknown,0.0,False,0.0,person,unknown,Romance,0.8551,True
6,00:07.22-00:08.84,1.1374,0.1137,0.4978,left,0.6079,neutral,0.5801,True,0.5801,"person, tv",neutral,Romance,0.8388,True
7,00:08.84-00:10.26,0.1627,0.0163,0.5275,left,0.5493,neutral,0.7961,True,0.7961,"person, tv",neutral,Romance,0.8423,True
8,00:10.26-00:11.55,0.3463,0.0346,0.3207,right,0.7032,unknown,0.0,False,0.0,person,unknown,Romance,0.7709,True
9,00:11.55-00:12.47,0.1571,0.0157,0.5386,left,0.6813,sad,0.4887,True,0.4887,"person, tv",sad,Romance,0.6342,True
10,00:12.47-00:13.35,0.8013,0.0801,0.3808,left,0.5193,unknown,0.0,False,0.0,person,unknown,Romance,0.6293,True
11,00:13.35-00:14.60,3.0306,0.3031,0.366,left,0.8832,sad,0.9962,True,0.9962,person,sad,Emotional,0.6479,True
12,00:14.60-00:17.18,0.3264,0.0326,0.3782,left,0.6068,angry,0.808,True,0.808,person,angry,Romance,0.5604,True
13,00:17.18-00:18.18,0.5738,0.0574,0.376,right,0.5462,neutral,0.9552,True,0.9552,person,neutral,Romance,0.7786,True
14,00:18.18-00:20.35,0.3804,0.038,0.3634,right,0.7129,fear,0.9973,True,0.9973,person,fear,Romance,0.7718,True
15,00:20.35-00:22.15,3.828,0.3828,0.3838,right,0.882,fear,0.8749,True,0.8749,person,fear,Romance,0.885,True
16,00:22.15-00:23.61,1.2809,0.1281,0.3561,right,0.8275,neutral,0.8064,True,0.8064,person,neutral,Emotional,0.6197,True
17,00:23.61-00:25.61,1.0833,0.1083,0.5398,left,0.7077,neutral,0.9649,True,0.9649,"person, tv",neutral,Romance,0.7657,True
18,00:25.61-00:26.82,0.7203,0.072,0.4467,left,0.814,sad,0.8023,True,0.8023,"chair, person",sad,Emotional,0.5862,True
19,00:26.82-00:29.03,0.8849,0.0885,0.3768,right,0.8135,surprise,0.8447,True,0.8447,person,surprise,Romance,0.4757,True
20,00:29.03-00:30.70,0.4807,0.0481,0.3816,left,0.9607,sad,0.9929,True,0.9929,person,sad,Romance,0.7969,True
21,00:30.70-00:31.82,0.3778,0.0378,0.55,left,0.8085,angry,0.7381,True,0.7381,"person, tv",angry,Romance,0.7883,True
22,00:31.82-00:32.78,3.056,0.3056,0.5679,right,0.582,angry,0.5792,True,0.5792,"person, suitcase",angry,Comedy,0.8693,True
23,00:32.78-00:33.58,3.4313,0.3431,0.3687,left,0.7694,fear,0.7457,True,0.7457,person,fear,Comedy,0.7696,True
24,00:33.58-00:34.49,7.3442,0.7344,0.6687,left,0.5553,neutral,0.5663,True,0.5663,"chair, person, suitcase",neutral,Comedy,0.7149,True
25,00:34.49-00:35.41,1.6196,0.162,0.968,left,0.4199,happy,0.9632,True,0.9632,"car, person, tie",happy,Comedy,0.6975,True
26,00:35.41-00:39.41,1.5416,0.1542,0.7614,right,0.4952,fear,0.8458,True,0.8458,"car, person",fear,Romance,0.7764,True
27,00:39.41-00:41.25,2.1369,0.2137,0.27,right,0.7532,fear,0.9913,True,0.9913,person,fear,Romance,0.7464,True
28,00:41.25-00:42.79,1.0837,0.1084,0.8576,right,0.636,sad,0.6794,True,0.6794,"car, person",sad,Romance,0.6382,True
29,00:42.79-00:44.84,1.3245,0.1324,0.6556,right,0.747,sad,0.9948,True,0.9948,"car, person",sad,Romance,0.7411,True
30,00:44.84-00:45.42,0.1196,0.012,0.6072,right,0.9186,unknown,0.0,False,0.0,airplane,unknown,Comedy,0.4131,True
31,00:45.42-00:46.00,0.0591,0.0059,0.5488,right,0.9835,unknown,0.0,False,0.0,car,unknown,Comedy,0.7374,True
32,00:46.00-00:47.17,0.7402,0.074,0.5464,right,0.6278,fear,0.8796,True,0.8796,car,fear,Comedy,0.6498,True
33,00:47.17-00:47.96,3.3831,0.3383,0.6189,right,0.6538,unknown,0.0,False,0.0,"chair, person, refrigerator",unknown,Comedy,0.5687,True
34,00:47.96-00:49.42,6.0584,0.6058,0.6629,left,0.9245,sad,0.9418,True,0.9418,"bottle, person, refrigerator",sad,Comedy,0.9196,True
35,00:49.42-00:50.80,1.8466,0.1847,0.4586,left,0.756,angry,0.8616,True,0.8616,"chair, person",angry,Comedy,0.5483,True
36,00:50.80-00:51.51,3.6247,0.3625,1.0,right,0.875,unknown,0.0,False,0.0,"car, dog, horse, person, suitcase, truck",unknown,Comedy,0.7452,True
37,00:51.51-00:52.22,0.2968,0.0297,1.0,right,0.9778,unknown,0.0,False,0.0,"car, dog, handbag, person, suitcase, truck",unknown,Comedy,0.7894,True
38,00:52.22-00:52.76,5.6437,0.5644,1.0,right,0.5792,unknown,0.0,False,0.0,"car, dog, person",unknown,Comedy,0.8911,True
39,00:52.76-00:53.39,1.5299,0.153,1.0,right,0.9249,sad,0.8979,True,0.8979,"car, handbag, horse, person",sad,Comedy,0.9473,True
40,00:53.39-00:54.39,2.5816,0.2582,0.7824,right,0.8772,sad,0.8979,True,0.8979,"horse, person",sad,Comedy,0.9114,True
41,00:54.39-00:55.31,1.2834,0.1283,0.3767,front,0.5061,fear,0.514,True,0.514,person,fear,Romance,0.6382,True
42,00:55.31-00:56.60,4.631,0.4631,0.8579,right,0.6572,unknown,0.0,False,0.0,"car, dog, person",unknown,Comedy,0.9125,True
43,00:56.60-00:59.14,2.0082,0.2008,0.548,right,0.4252,unknown,0.0,False,0.0,"person, potted plant",unknown,Romance,0.5345,True
44,00:59.14-01:00.52,0.9088,0.0909,1.0,right,0.9775,unknown,0.0,False,0.0,"car, dog, person, suitcase, truck",unknown,Comedy,0.8667,True
45,01:00.52-01:01.56,2.0216,0.2022,0.5399,right,0.6279,unknown,0.0,False,0.0,"person, potted plant",unknown,Comedy,0.798,True
46,01:01.56-01:02.35,1.9778,0.1978,0.517,right,0.942,neutral,0.6298,True,0.6298,"person, potted plant",neutral,Comedy,0.4438,True
47,01:02.35-01:03.31,0.3047,0.0305,0.5199,right,0.802,neutral,0.8407,True,0.8407,"person, potted plant",neutral,Romance,0.4021,True
48,01:03.31-01:04.94,1.9604,0.196,0.4617,left,0.946,neutral,0.7763,True,0.7763,"cup, person",neutral,Romance,0.623,True
49,01:04.94-01:06.40,2.4282,0.2428,0.7599,right,0.723,unknown,0.0,False,0.0,"car, person",unknown,Romance,0.9642,True
50,01:06.40-01:07.53,0.1849,0.0185,0.3573,right,0.8155,neutral,0.8245,True,0.8245,person,neutral,Romance,0.655,True
51,01:07.53-01:09.28,5.4183,0.5418,0.3749,right,0.9721,unknown,0.0,False,0.0,person,unknown,Comedy,0.9492,True
52,01:09.28-01:09.99,3.287,0.3287,0.3747,right,0.9567,unknown,0.0,False,0.0,person,unknown,Comedy,0.8457,True
53,01:09.99-01:11.49,0.6552,0.0655,0.3728,right,0.8928,unknown,0.0,False,0.0,person,unknown,Comedy,0.7243,True
54,01:11.49-01:12.57,0.6364,0.0636,0.5478,right,0.5661,unknown,0.0,False,0.0,"chair, dining table, person",unknown,Romance,0.8212,True
55,01:12.57-01:13.53,1.1512,0.1151,0.5353,left,0.7454,fear,0.9654,True,0.9654,"chair, cup, person",fear,Comedy,0.5173,True
56,01:13.53-01:14.45,0.5667,0.0567,0.4499,right,0.5906,happy,1.0,True,1.0,"chair, person",happy,Dialogue,0.6041,True
57,01:14.45-01:15.08,0.155,0.0155,0.4945,right,0.6421,happy,0.9742,True,0.9742,"person, vase",happy,Dialogue,0.4402,True
58,01:15.08-01:15.74,0.431,0.0431,0.6704,left,0.9134,happy,0.9992,True,0.9992,"chair, cup, fork, person",happy,Dialogue,0.9616,True
59,01:15.74-01:16.66,0.6214,0.0621,0.6738,left,0.751,sad,0.9976,True,0.9976,"chair, cup, fork, person",sad,Dialogue,0.6275,True
60,01:16.66-01:17.37,0.9515,0.0951,0.4647,right,0.5514,sad,0.8183,True,0.8183,"cup, person",sad,Romance,0.8171,True
61,01:17.37-01:18.45,0.3037,0.0304,0.4666,left,0.4857,happy,0.9762,True,0.9762,"cup, person",happy,Romance,0.6794,True
62,01:18.45-01:19.54,0.3622,0.0362,0.5669,left,0.6026,unknown,0.0,False,0.0,"chair, dining table, person",unknown,Romance,0.7198,True
63,01:19.54-01:20.37,0.4017,0.0402,0.797,left,0.714,sad,0.9497,True,0.9497,"bowl, chair, cup, dining table, person",sad,Dialogue,0.7139,True
64,01:20.37-01:21.62,0.6466,0.0647,0.5465,right,0.6524,fear,0.7194,True,0.7194,"person, toothbrush",fear,Comedy,0.8118,True
65,01:21.62-01:22.87,2.1198,0.212,0.3753,left,0.7443,happy,0.8097,True,0.8097,person,happy,Comedy,0.5454,True
66,01:22.87-01:23.79,1.0781,0.1078,0.3803,right,0.8756,sad,0.6489,True,0.6489,person,sad,Romance,0.8433,True
67,01:23.79-01:24.38,0.8954,0.0895,0.3837,right,0.4634,happy,0.6376,True,0.6376,person,happy,Comedy,0.5782,True
68,01:24.38-01:25.00,0.7266,0.0727,0.5235,left,0.9836,sad,0.8515,True,0.8515,"chair, cup, person",sad,Emotional,0.5367,True
69,01:25.00-01:25.59,1.787,0.1787,0.3821,right,0.6551,sad,0.7767,True,0.7767,person,sad,Emotional,0.7038,True
70,01:25.59-01:26.92,4.3344,0.4334,0.5466,left,0.8463,sad,0.3675,True,0.3675,"chair, cup, person",sad,Comedy,0.4611,True
71,01:26.92-01:27.50,2.0345,0.2034,0.3737,left,0.8143,sad,0.7504,True,0.7504,person,sad,Comedy,0.4343,True
72,01:27.50-01:28.13,3.5818,0.3582,0.5435,right,0.911,angry,0.5684,True,0.5684,"chair, cup, person",angry,Unknown,0.3121,False
73,01:28.13-01:28.76,1.2386,0.1239,0.7207,right,0.6408,sad,0.5218,True,0.5218,"cup, person, pizza, wine glass",sad,Dialogue,0.435,True
74,01:28.76-01:29.30,3.4166,0.3417,0.3786,left,0.8951,sad,0.9021,True,0.9021,person,sad,Comedy,0.4587,True
75,01:29.30-01:30.42,3.051,0.3051,0.3802,left,0.8119,surprise,0.9853,True,0.9853,person,surprise,Unknown,0.3794,False
76,01:30.42-01:32.18,2.2175,0.2217,0.5631,left,0.3527,angry,0.7593,True,0.7593,"person, vase",angry,Romance,0.4214,True
77,01:32.18-01:34.26,0.6264,0.0626,0.5095,left,0.7549,angry,0.7759,True,0.7759,"person, tie",angry,Romance,0.4868,True
78,01:34.26-01:35.76,1.4725,0.1472,0.0,right,0.6793,fear,0.4783,True,0.4783,,fear,Romance,0.4531,True
79,01:35.76-01:36.68,4.6764,0.4676,0.6814,right,0.9065,unknown,0.0,False,0.0,"cell phone, person, remote",unknown,Romance,0.5255,True
80,01:36.68-01:37.56,0.4591,0.0459,0.3799,left,0.7279,sad,0.7802,True,0.7802,person,sad,Romance,0.7329,True
81,01:37.56-01:38.43,0.7509,0.0751,0.6593,left,0.7971,neutral,0.5991,True,0.5991,"bottle, person, refrigerator",neutral,Comedy,0.6524,True
82,01:38.43-01:39.22,3.382,0.3382,0.5866,left,0.8964,neutral,0.7175,True,0.7175,"cell phone, chair, person",neutral,Comedy,0.8415,True
83,01:39.22-01:40.23,1.3697,0.137,0.5991,left,0.9098,fear,0.7295,True,0.7295,"bottle, person, refrigerator",fear,Comedy,0.9214,True
84,01:40.23-01:42.98,3.2905,0.3291,0.3701,left,0.8979,sad,0.7157,True,0.7157,person,sad,Emotional,0.8591,True
85,01:42.98-01:43.94,1.1696,0.117,0.3667,left,0.8011,unknown,0.0,False,0.0,person,unknown,Comedy,0.4332,True
86,01:43.94-01:44.77,0.1421,0.0142,0.3653,left,0.8154,sad,0.958,True,0.958,person,sad,Romance,0.6069,True
87,01:44.77-01:46.06,3.37,0.337,0.551,right,0.5014,neutral,0.8737,True,0.8737,"bottle, person",neutral,Comedy,0.8861,True
88,01:46.06-01:47.57,4.4432,0.4443,0.3578,right,0.8172,happy,0.9995,True,0.9995,person,happy,Romance,0.4084,True
89,01:47.57-01:48.11,1.0996,0.11,0.8478,right,0.7402,neutral,0.9945,True,0.9945,"car, person",neutral,Comedy,0.4923,True
90,01:48.11-01:48.90,4.0425,0.4042,1.0,right,0.9328,sad,0.4924,True,0.4924,"car, person, truck",sad,Comedy,0.781,True
91,01:48.90-01:50.40,2.8732,0.2873,0.7418,right,0.9078,sad,0.9656,True,0.9656,"car, person",sad,Comedy,0.618,True
92,01:50.40-01:51.19,1.6295,0.1629,0.383,left,0.6709,surprise,0.9636,True,0.9636,person,surprise,Comedy,0.6551,True
93,01:51.19-01:52.61,1.9707,0.1971,0.4923,right,0.8587,fear,0.8384,True,0.8384,"person, tie",fear,Romance,0.5738,True
94,01:52.61-01:54.28,1.2964,0.1296,0.3788,left,0.5548,neutral,0.9992,True,0.9992,person,neutral,Emotional,0.5846,True
95,01:54.28-01:55.70,0.6167,0.0617,0.718,right,0.8536,surprise,0.824,True,0.824,"car, person",surprise,Romance,0.7645,True
96,01:55.70-01:56.95,2.4838,0.2484,0.0,left,0.7779,unknown,0.0,False,0.0,,unknown,Comedy,0.7159,True
97,01:56.95-01:57.78,0.1392,0.0139,0.5768,left,0.5735,unknown,0.0,False,0.0,"chair, person, tv",unknown,Comedy,0.5947,True
